STATE,NAME,LAT,LON,COAL,OIL,GAS,NUCLEAR,HYDRO,BIO,WIND,SOLAR,GEO,OTHER1,OTHER2,OTHER,ENERGY
NC,Eisenhower Solar,36.081841,-78.065691,,,,,,,,,,,,,SOLAR
NC,Ellerbe,35.1,-79.73,0,0,0,0,0,0,0,3201,0,0,0,,SOLAR
NC,Elliana Solar,36.131111,-79.3325,0,0,0,0,0,0,0,8774,0,0,0,,SOLAR
NC,Elm City Solar Facility,35.781111,-77.846944,0,0,0,0,0,0,0,79375,0,0,0,,SOLAR
NC,"Elm Solar, LLC",35.453828,-79.189525,0,0,0,0,0,0,0,9268,0,0,0,,SOLAR
NC,Enka,35.533333,-82.65,,,,,,,,,,,,,COAL
NC,"Ennis Solar, LLC",35.421964,-78.721683,,,,,,,,,,,,,SOLAR
NC,Erwin Farm,35.333333,-78.661389,0,0,0,0,0,0,0,6372,0,0,0,,SOLAR
NC,ESA Selma,35.5262,-78.2898,0,0,0,0,0,0,0,3080,0,0,0,,SOLAR
NC,Everett PV1,35.821137,-77.30957,,,,,,,,,,,,,SOLAR
NC,"Everetts Wildcat Solar, LLC",35.847222,-77.111389,0,0,0,0,0,0,0,10651,0,0,0,,SOLAR
NC,"Exum Farm Solar, LLC",35.370441,-77.4549,0,0,0,0,0,0,0,9148,0,0,0,,SOLAR
NC,Facile Solar,36.098889,-79.493889,0,0,0,0,0,0,0,3196,0,0,0,,SOLAR
NC,Fairmont-FLS 100,34.52,-79.13,0,0,0,0,0,0,0,6505,0,0,0,,SOLAR
NC,Faison Solar,35.069722,-78.116111,0,0,0,0,0,0,0,2712,0,0,0,,SOLAR
NC,Falls Hydro,35.3944,-80.0753,0,0,0,0,159405,0,0,0,0,0,0,,HYDRO
NC,Farrington Farm,35.832778,-79.025,0,0,0,0,0,0,0,1239,0,0,0,,SOLAR
NC,Fern Solar LLC,36.003272,-77.696443,,,,,,,,,,,,,SOLAR
NC,First Citizens Bank,35.728517,-78.639206,0,0,0,0,0,0,0,1158,0,0,0,,SOLAR
NC,Fisher Solar Farm - NC,35.24125,-80.03465,0,0,0,0,0,0,0,8907,0,0,0,,SOLAR
NC,Five Forks Solar,36.515544,-78.033704,,,,,,,,,,,,,SOLAR
NC,Flash Solar,35.758056,-81.229444,0,0,0,0,0,0,0,8591,0,0,0,,SOLAR
